NNo,,0,1,2,3,long,lat,statue
57,56,검암경서점,인천광역시 서구 검암동 643-2 우주프라자 104,126.673427998044,37.5597082039145,정좌표
58,57,경기송산점,경기도 화성시 수노을1로191 상가3동 105호,126.82189599326,37.2852765282862,정좌표
59,58,경남고성점,경상남도 고성군 고성읍 송학리 263-7,128.325661158049,34.9771662903593,정좌표
60,59,경남금산점,경상남도 진주시 금산면 금산로 101,128.147358172201,35.2141380865875,정좌표
61,60,경남단계점,경상남도 산청군 신등면 신등가회로 15,128.010815233661,35.3787789108838,정좌표
62,61,경남사천점,경상남도 사천시 사천읍 정의1길 16,128.089533696651,35.0841460115967,정좌표
63,62,경남양산점,경상남도 양산시 중앙로 111 1층,129.03726247331,35.3407202095769,정좌표
64,63,경복점,"서울특별시 강남구 봉은사로43길 8, 1층 102호(논현동)",127.03994820799,37.5097981600056,정좌표
65,64,경안점,경기도 광주시 중앙로 179 (송정동),127.256648390454,37.4156305062368,정좌표
66,65,경포대점,강원도 강릉시  해안로 501 ,128.905014029294,37.804408350963,정좌표
67,66,계산1점,인천광역시 계양구 계산2동 933-25,126.721219412068,37.5446450332382,정좌표
68,67,계양1동점,인천광역시 계양구 황어로115번길 10,126.732667271218,37.5796631432481,정좌표
71,70,고담리점,경기도 이천시 대월면 대산로288번길 72,127.475371997134,37.249403690229,정좌표
72,71,고대점,충청남도 당진시 고대면 고대로 47,126.597769398838,36.9239428628267,정좌표
74,73,고덕점,충청남도 예산군 고덕면 용고길 353,126.704263887213,36.7446395371936,정좌표
75,74,고매리점,경기도 용인시기흥구 고매동 722-2,127.097241044943,37.2218856863374,정좌표
76,75,고북점,충청남도 서산시 고북면 기포리 300-2,126.532361135546,36.6680522139666,정좌표
77,76,고색점,"경기도 수원시권선구 매송고색로 687, 1층",126.979528008575,37.2506826326761,정좌표
78,77,고은점,충청북도 청주시상당구 남일면 단재로 730-1,127.509525287066,36.5664620827751,정좌표
79,78,고잔2점,경기도 안산시단원구 고잔동 733-1 104,126.838685788899,37.3138146643572,정좌표
80,79,고잔점,경기도 안산시단원구 고잔동 612 문화연립상가동 110,126.829531885773,37.3290272937492,정좌표
82,81,고천점,"경기도 의왕시 효행로 44(오전동, 의왕빌딩3호)",126.973082449875,37.3513525580924,정좌표
83,82,고한점,강원도 정선군 고한읍 고한로 151-1,128.853171943075,37.2013378001343,정좌표
84,83,곡반정점,"경기도 수원시권선구 곡선로50번길 48/107(곡반정동,현대@상가)",127.028288532151,37.237514693529,정좌표
85,84,곤명점,경상남도 사천시 곤명면 정곡리 843-9,127.976575205232,35.1306758386,정좌표
86,85,곤지암점,"경기도 광주시 곤지암읍 곤지암로50번길, 25",127.341155323294,37.3494481847325,인근좌표
87,86,공덕동점,서울특별시 마포구 공덕동 111-187,126.960511136658,37.5473542630039,정좌표
88,87,공덕역점,"서울특별시 마포구 마포대로11길 75 102 (공덕동, 공덕현대아파트상가)",126.950067416315,37.5487984444898,정좌표
89,88,공도점,경기도 안성시 공도읍 고무다리길 10-1,127.169646072894,36.9984114152095,정좌표
90,89,공릉철길공원점,서울특별시 노원구 동일로184길 69. 1층(공릉동),127.077365172596,37.6247732912222,정좌표
