vsong,vsinger,valbum
Dynamite,방탄소년단,Dynamite (DayTime Version)
마리아 (Maria),화사(Hwa Sa),Maria
When We Disco (Duet with 선미),박진영,When We Disco
Ice Cream (with Selena Gomez),BLACKPINK,Ice Cream (with Selena Gomez)
에잇(Prod.&Feat. SUGA of BTS),아이유(IU),에잇
다시 여기 바닷가,싹쓰리(유두래곤, 린다G, 비룡),다시 여기 바닷가
눈누난나 (NUNU NANA),제시(Jessi),NUNA
How You Like That,BLACKPINK,How You Like That
취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들)
Not Shy,ITZY(있지),Not Shy
