,0,1
104,광명2점,경기도 광명시 광명동 348-20
105,광명역점,"경기도 광명시 신기로17번길 6, 1층102호(일직동,케이스퀘어)"
106,광산점,광주광역시 광산구 송정동 792-14
107,광안점,부산광역시 수영구 무학로33번길 55
108,광양점,전라남도 광양시 광양읍 인서중앙길 43
109,광장동점,서울특별시 광진구 구의동 203-24
110,광주점,경기도 광주시 문화로 6(역동)
111,광주지사,   
112,광천점,충청남도 홍성군 광천읍 광천리 244-7
113,광탄점,경기도 파주시 광탄면 혜음로 1127-1
114,광혜원점,충청북도 진천군 광혜원면 화랑5길 8
115,괘법점,부산광역시 사상구 광장로37번길 71
116,괴산점,"충청북도 괴산군 괴산읍 읍내로11번길, 8-5"
117,괴안1점,"경기도 부천시소사구 부광로8번길 39,104(괴안동)"
118,괴정1점,대전광역시 서구 괴정동 130-3
119,교대앞점,강원도 춘천시 공지로 111 
120,교대역점,서울특별시 서초구 서초동 1640-1 1층
121,교하신도시점,경기도 파주시 숲속노을로 300
122,구곡현대점,강원도 원주시 남원로 492-14(단구동1576-3)
123,구래점,경기도 김포시 김포한강9로 121
124,구례점,전라남도 구례군 구례읍 중앙로 35
125,구로2동점,서울특별시 구로구 구로2동 726-32
126,구리남점,경기도 구리시 안골로20번길 28
127,구미송정점,경상북도 구미시 송정동 465-1
128,구미옥계점,경상북도 구미시 흥안로1길 6-3
129,구반월점,경기도 안산시상록구 건건동 632-4 1층
130,구산점,경상남도 김해시 구산로 32-1
131,구성마북점,경기도 용인시기흥구 연원로 5(마북동)
132,구암점,전라북도 군산시 서당길 11(구암동)
133,구운점,"경기도 수원시권선구 구운로32, 1층(구운동)"
134,구월1동점,인천광역시 남동구 구월동 1217-2 103호
135,구의동점,서울특별시 광진구 자양로 322 (구의동)
136,구포점,부산광역시 북구 구포동 391-9
137,군남점,경기도 연천군 군남면 군남로 115
138,군산금호점,전라북도 군산시 나운동 489 금호타운상가 108
139,군위점,경상북도 군위군 군위읍 서부리 57-1
140,군자11점,경기도 안산시단원구 선부동 1078-4 가동상가 110
141,군포당동점,"경기도 군포시 군포로510번길 25(당동, 당동누리에뜰해밀제1층118호)"
142,궁동점(대전),대전광역시 유성구 궁동 404-7
143,권선점,경기도 수원시권선구 세권로 181번 13(권선동)
144,궐동대우점,경기도 오산시 청학로 173번길 18(수청동)
145,근화점,전라남도 목포시 산정로 268-3
146,금곡점,경기도 남양주시 금곡로 49
147,금산2점,충청남도 금산군 금산읍 중도리 391-4
148,금암점,전라북도 전주시덕진구 조경단로 44
149,금오점,경기도 의정부시 금신로 398
150,금왕점,충청북도 음성군 금왕읍 탑골길 18
151,금장점,경상북도 경주시 현곡면 금장리 410 삼성APT상가 나동 103
152,금촌주공점,경기도 파주시 가나무로 103
153,금호동점,광주광역시 서구 금호동 815 호반리젠시빌 상가
154,금호로타리점,서울특별시 성동구 무수막길 89-2
155,금호역점,서울특별시 성동구 금호동3가 1394-3
156,기계점,경상북도 포항시북구 기계면 현내리 407-3번지
157,기아점,경기도 광명시 소하동 1236-7
158,기업도시점(원주),강원도 원주시 지정면 신지정로295
159,기업도시점(충주),충청북도 충주시 중앙탑면 원앙9길 15 
160,기장점,부산광역시 기장군 기장읍 대라리 129-1
161,기지시점,충청남도 당진시 송악읍 기지시리 161-1
162,길동3점,"서울특별시 강동구 천호대로185길 89(길동, 1층)"
163,길음점,서울특별시 성북구 길음로 74 길음뉴타운5단지 2-105
164,김해내동점,경상남도 김해시 평전로 154(내동)
165,김해중앙점,경상남도 김해시 부원동 603-7
166,까치산점,서울특별시 강서구 화곡8동 342-7 1층 102
167,꼬꼬점,경상북도 포항시북구 칠성천길 98
168,꿈.연화점,경기도 부천시원미구 옥산로 86
169,낙성대1점,서울특별시 관악구 봉천11동 1642-7
170,난곡점,서울특별시 관악구 문성로16가길 43
171,남목점,울산광역시 동구 동해안로 40-2(동부동)
172,남부점,강원도 원주시 남원로 617-2(명륜동)
173,남양주도곡점,경기도 남양주시 와부읍 덕소로 194-14
174,남원노암점,"전라북도 남원시 노암동 260, 한신아파트상가 102호"
175,남원점,제주특별자치도 서귀포시 남원읍 남원리 100-1
176,남중·모현점,"전라북도 익산시  고현로14길 53, 1층"
177,남창덕신점,울산광역시 울주군 온양읍 대안리 411-4
178,남촌점,경기도 오산시 성호대로 24-1(오산동)
179,남해점,경상남도 남해군 남해읍 서변리 149-1
180,내곡동점,강원도 강릉시 관대길 70
181,내동2점,대전광역시 서구 내동 160-19
182,내동점,경기도 부천시오정구 삼작로96번길 21(내동 19-12)
183,내면점,강원도 홍천군 내면읍 창촌로 48
184,내손동점,"경기도 의왕시 계원대학로 26, 201호 (내손동, 주영프라자)"
185,내포1점,충청남도 홍성군 홍북면 애향2길 2
186,노암점,강원도 강릉시 노가니길 1(노암동)
187,노은반석점,"대전광역시 유성구 노은서로266번 77, 104호(지상1층)"
188,노학점,강원도 속초시 교동로  55(교동)
189,녹양점,"경기도 의정부시 비우로20번길 29(가능동,지상1층)"
190,논산2점,충청남도 논산시 취암동 610-2
191,논산대교점,충청남도 논산시 대교동 250-14
192,논산주공점,"충청남도 논산시 논산대로 348번길 7, 상가-101(취암동,주공아파트)"
193,논현동점,"서울특별시 강남구 강남대로128길 27(논현동, 지상1층 102호)"
