,0,1
469,상대원1점,경기도 성남시중원구 박석로62번길 1(상대원동)
470,상도4동점,서울특별시 동작구 상도4동 210-8
471,상도동점,서울특별시 동작구 상도동 22-107 102
472,상동라일락점,"경기도 부천시원미구 도약로 35, 105(상동)"
473,상동점,전라북도 정읍시 상동 265-1(충정로 37)
474,상동현대점,"경기도 부천시원미구 상동 555-8, 102호"
475,상리점,경기도 여주시 청심로 232
476,상무세정점,광주광역시 서구 치평동 상무화원로31번길18
477,상봉동점,서울특별시 중랑구 봉우재로 161(상봉동)
478,상인점,대구광역시 달서구 상인동 1474
479,상일동점,"서울특별시 강동구 상일로 29-1, 1층(상일동)"
480,새마을점,경기도 안양시만안구 안양동 759-51
481,샘머리점,대전광역시 서구 둔산동 908 상록스토아 306
482,샘터점,경기도 고양시덕양구 화신로 73 D상가 103호
483,서3점,부산광역시 금정구 서동 203-6
484,서귀동문점,제주특별자치도 서귀포시 서문로29번길 18
485,서근리점,경기도 화성시 팔탄면 버들로 1362번길 6
486,서남점,대구광역시 달서구 감삼동 63-7
487,서둔탑동평동점,경기도 수원시권선구 서둔로 197-1 1층 101호(탑동)
488,서면점(충남),세종특별자치시  연서면 당산로 286 대원네스트빌@상가101
489,서부점,경상남도 창원시진해구  충장로 100
490,서산1점,충청남도 서산시 읍내동 160-1
491,서산부영점,충청남도 서산시 성암1로 56(읍내동)
492,서산삼성점,충청남도 서산시 서령로 137
493,서상점,경상남도 함양군 서상면 서상로 290-2
494,서석점,강원도 홍천군 서석면 구룡령로 2525
495,서울온천점,"서울특별시 노원구 노원로16길 15, 상가동 1층 104호 (하계동,중계9단지상가)"
496,서울지사,서울특별시 금천구 시흥동 985-14
497,서정점,경기도 평택시 서정동 288-15
498,서천점,충청남도 서천군 서천읍 군사리 715-2
499,서천점(용인),"경기도 용인시기흥구 예현로35번길  6 서천동,1층"
500,서초동점,서울특별시 서초구  효령로424
501,서현점,경기도 성남시분당구 서현동 311 효자촌주상복합 604-110
502,석관동점,"서울특별시 성북구 돌곶이로22길 50, 1층(석관동)"
503,석림점,충청남도 서산시 석림동 783-4
504,석문점,충청남도 당진시 석문면 통정3안길 8-15
505,석사점,강원도 춘천시 공지로252번길 4
506,석적점,경상북도 칠곡군 석적읍 북중리 11길 28
507,석촌점,"서울특별시 송파구 송파대로37길 26, 101호 (석촌동)"
508,석포점,경기도 화성시 장안면 버들로 1199
509,선부3점,경기도 안산시단원구 달미로 85-1
510,선수촌점,서울특별시 송파구 잠실7동 85-1 아시아선수촌상가내
511,선유점,경기도 파주시 문산읍 독서울1길 39 휴먼시아상가 106
512,선화점,대전광역시 중구 은행동 1-1
513,설봉점,경기도 이천시 향교로 106(창전동)
514,설성점,경기도 이천시 설성면 설장로 13(금성빌딩)
515,설악동점,강원도 속초시 청봉로 77 (설악동)
516,설악면점,경기도 가평군 설악면 신천 중앙로 131
517,성거점,충청남도 천안시서북구 성거읍 성거길 90
518,성건점,경상북도 경주시 성건동 625-8
519,성남점,경기도 성남시중원구 성남동 4149
520,성남점(울산),울산광역시 중구 성남동 57-2 2F
521,성내동점,서울특별시 강동구 성내1동 560-5
522,성당점,대구광역시 달서구 성당동 669-9 1층
523,성대1점,경기도 수원시장안구 율전로 85번길 15(율전동)
524,성대2점,"경기도 수원시장안구 서부로 2197번길 36-1, 1층"
525,성산동점,서울특별시 마포구 중동 64-25
526,성산점,제주특별자치도 서귀포시 성산읍 178-3
527,성서점,"대구광역시 달서구 이곡동 1194-2, 상가108호"
528,성석점,경기도 고양시일산동구 고봉로 616(성석동)
529,성정2점,충청남도 천안시서북구 서부12길 14
530,성정점,충청남도 천안시서북구 성정동 717-1
531,성주점(경북),경상북도 성주군 월항면  주산로 397
532,성환점,충청남도 천안시서북구 성환읍 성환리 345-3
533,세검정점,서울특별시 종로구 평창동 285-2
534,세곡점,서울특별시 강남구 세곡동 124-2 1층 16
535,세류점,경기도 수원시권선구 정조로 558(세류동)
536,세종청사점,"세종특별자치시  갈매로 479, 101(어진동, 상가동지하1층)"
537,센트럴파크점,인천광역시 연수구 컨벤시아대로 50
538,소래점,인천광역시 남동구 논현동 577 풍림상가 111호
539,소사3점,"경기도 부천시소사구 소사로160번길 26-2, 1층일부(소사본동)"
540,소양로점,강원도 춘천시 중앙로 126번지(소양로4가)
541,소촌점,광주광역시 광산구 소촌동 610 서라@상가105
542,속리산점,충청북도 보은군 속리산면 사내리 281-1
543,송강그린점,대전광역시 유성구 송강동 208-7
544,송강마을점,대전광역시 유성구 구즉로58번길 12(송강동)
545,송내1점,"경기도 부천시소사구 경인로134번길 72, 202호(송내동,단지내상가2층)"
546,송내점,경기도 동두천시 거북마루24    103호
547,송도신도시점,"인천광역시 연수구 해돋이로6번길 33, 한진해모로상가 105호"
548,송도점,인천광역시 연수구 비류대로 216 1층4호
549,송림점,인천광역시 동구 샛골로161번길 25
550,송산점,충청남도 당진시 송산면 송산로 809
551,송악점,충청남도 아산시 송악면 외암리 595-104
552,송월점,인천광역시 중구 송월동1가 11-128
553,송정점,"강원도 동해시 동해항2길 5, 7/2(송정동)"
554,송지호점,강원도 고성군 죽왕면 동해대로 5902
555,송천점,전라북도 전주시덕진구 솔내로 111(송천동1가)
556,송촌점,대전광역시 대덕구 송촌동 222-12
557,송현점,대구광역시 달서구 송현동 798-23
558,수곡동점,충청북도 청주시서원구 청남로  2092-1
559,수리산역점,"경기도 군포시 번영로 403, 211(산본동, 가야주공)"
560,수림점,인천광역시 남동구 주안로237번길 1
561,수서점,"서울특별시 강남구 광평로51길 49, 수서주공아파트상가112"
562,수성점,대구광역시 수성구 수성동1가 82-2
563,수안보점,충청북도 충주시 수안보면 장터2길 20-7
564,수완점,광주광역시 광산구 신가동 1101
565,수원지사,   
566,수유점,"서울특별시 강북구 노해로11길 42, 1층(수유동)"
567,수진점,"경기도 성남시수정구 제일로124번길 8, 1층 (수진동)"
568,순흥점,경상북도 영주시 순흥면 읍내리 315-1
569,시화3점,경기도 시흥시 정왕대로53번길 29
570,시화5점,경기도 시흥시 역전로 427 세종상가 104
571,시화6점,경기도 시흥시 정왕동 1847 청솔아파트 상가 104호
572,시화7점,"경기도 시흥시 정왕신길로49번 37,109(서해APT상가)"
573,시화8점,경기도 시흥시 정왕대로266번 4 금강아파트 상가 108호
574,시화지구점,경기도 시흥시 봉우재로 7번길 20
575,시흥공구점,서울특별시 금천구 시흥동 941-1
576,시흥사거리점,서울특별시 금천구 시흥1동 995-10 1층
577,시흥현대점,"서울특별시 금천구 독산로36길 8, 지하1층 (시흥동)"
578,신갈점,경기도 용인시기흥구 신구로53번길  10-1(신갈동)
579,신계점,충청남도 천안시동남구 목천읍 충철로 874 협성엠파이어아파트 상가 106~107호
580,신곡점,경기도 의정부시 시민로 240
581,신공덕점,"서울특별시 마포구 만리재옛길 20(신공덕동, 1층)"
582,신공항점,인천광역시 중구 영종대로27번길 41
583,신관점,충청남도 공주시 신관동 177-1
584,신관초교점,충청남도 공주시 신관동 319-7 신관초교 후문앞
585,신구로점,"서울특별시 구로구 구로중앙로28다 21, 1층101호(구로동)"
586,신길2점,서울특별시 영등포구 신길동 451-1
587,신내동점,"서울특별시 중랑구 봉화산로 236(신내동, 102호)"
588,신대방역점,서울특별시 관악구 신림동 542-17
589,신대점,대전광역시 대덕구 신대동 216번지
590,신도림점,서울특별시 구로구 신도림로11다길 23(신도림동)
591,신둔점,경기도 이천시 신둔면 경충대로 3172
592,신례원점,충청남도 예산군 예산읍 창말로 8
593,신림2점,서울특별시 관악구 신림동 251-461
594,신림점(원주),강원도 원주시 신림면 신림황둔로 4
595,신림현대점,"서울특별시 관악구 신림로 122, 1층 (신림동)"
596,신매점,대구광역시 수성구 신매동 599-15
597,신반점,경상남도 의령군 부림면 신번로 164
598,신부점,충청남도 천안시동남구 신부동 683
599,신사동점,"서울특별시 은평구 갈현로3길 33-8, 1층 (신사동)"
600,신선점,부산광역시 영도구 하나길 614
601,신설동점,서울특별시 종로구 숭인2동 699
602,신성점,대전광역시 유성구 신선로 72번길 30
603,신수동점,"서울특별시 마포구 토정로 240, 1-1(신수동, 상가)"
604,신수리점,강원도 철원군 서면 자등로 593
605,신시가지점,제주특별자치도 서귀포시 김정문화로 66(법환동)
606,신양점,충청남도 예산군 신양면 청신로 364
607,신영통점,경기도 수원시영통구 영통로90번길 4-9(망포동485-3)
608,신원당점,경기도 고양시덕양구 고양대로1384 7-24 동문상가 1층 
609,신월4점,서울특별시 양천구 신월4동 447-4
610,신월7점,서울특별시 양천구 신월7동 952-1 대지상가 105
611,신정1점,"서울특별시 양천구 중앙로32길 55, 1층 101호 (신정동)"
612,신정2점,"서울특별시 양천구 신목로2길 11, 1층 103호 (신정동,청구아파트상가)"
613,신제주점,제주특별자치도 제주시 신대로 124(연동)
614,신창부영점,광주광역시 광산구 신창동 1270번지 부영@2차 상가 2-106
615,신창점,충청남도 아산시 신창면 서부남로 868
616,신천은행점,경기도 시흥시 신천동 781-22
617,신천점,대구광역시 동구 신천동 279-17
618,신탄3점,대전광역시 대덕구 신탄진동 18-8
619,신태인점,전라북도 정읍시 신태인읍 신태인중앙로 7
620,신풍시장점,서울특별시 영등포구 신길3동 325-96
621,신항점,충청남도 태안군 근흥면 신진도리 527-8
622,신현리점,경기도 광주시 오포읍 새말길 94
623,신현점,인천광역시 서구 원창로239번길 4(가정동)
624,신흥2점,경기도 성남시수정구 수정로220번길 5 (신흥동)
625,심곡5점,"경기도 부천시원미구 부천로103번길 17, 1층 일부 (심곡동)"
626,심곡본1점,"경기도 부천시소사구 성주로 159(심곡본동,1층)"
627,심곡점,인천광역시 서구 심곡로 170 상가동 1층 103호
628,십정점,인천광역시 부평구 배곶남로 18
629,쌍문동점,서울특별시 도봉구 쌍문동 56 삼익A 상가 107
630,쌍촌시영점,광주광역시 서구 쌍촌로 37
631,아동점,"경기도 파주시 경의로 1821, 1층101호"
632,아라점,제주특별자치도 제주시 인다12길 1 아라주공아파트 상가 106호
633,아산풍기점,충청남도 아산시 어의정로 184
634,아중점,전라북도 전주시덕진구 인후동1가 880-5
635,아진천곡달천점,울산광역시 북구 달천로 103-19(달천아이파크 2차상가 100동 B109호)
636,안강점,경상북도 경주시 안강읍 비화원로 117
637,안녕송산점,경기도 화성시 용주로 25 1층 일부호(안녕동)
638,안산3점,경기도 안산시단원구 예술대학로 107 상가104호
639,안산상록수점,경기도 안산시상록구 본삼로 17 1층 103호
640,안산이동점,"경기도 안산시상록구 도매시장로 34-1, 102호"
641,안산일동점,경기도 안산시상록구 호동로 81(일동)
642,안산효자점,경기도 안산시단원구 선부광장서로1길 15 효자상가103호
643,안서점,충청남도 천안시동남구 중암1길 17
644,안성2점,경기도 안성시 신건지동 1-2
645,안양5동점,경기도 안양시만안구 안양동 388-12
646,안의점,경상남도 함양군 안의면 금천리 203-4
647,안정점,경상남도 통영시 광도면 안정로 807
648,안중점,경기도 평택시 안중읍 안현로서7길 16
649,안흥점,강원도 횡성군 안흥면 안흥길 37-1
650,암사2점,"서울특별시 강동구 구천면로 337, 1층 (암사동)"
651,암사역점,서울특별시 강동구 암사1동 501-25
652,앙성점,충청북도 충주시 앙성면 가곡로 1033-1
653,애월점,제주특별자치도 제주시 애월읍 애월리 1717-6
654,야탑점,"경기도 성남시분당구 야탑로139번길 18-3 (야탑동,1층)"
655,약대점,경기도 부천시오정구 삼정동 318-5 1층
656,약목점,경상북도 칠곡군 약목면 약목로 94-2(2층 건물내 1층)
657,약수역점,서울특별시 중구 신당동 321-1 1층
658,양곡1점,경기도 김포시 양촌읍 양곡2로60번길 53 101호
659,양덕원점,강원도 홍천군 남면 시동로 4
660,양덕합성점,경상남도 창원시마산회원구 합성동 733-3
661,양동점,경기도 양평군 양동면 양동시장길 6-5
662,양문점,경기도 포천시 영중면 양문로 98-1
663,양벌점,경기도 광주시 오포읍 양벌로 190
664,양성점,경기도 안성시 양성면 읍내길 26
665,양수리점,경기도 양평군 양서면 양수로150번길 9-2
666,양재점,서울특별시 서초구 양재동 8-71 광성빌딜 1층
667,양정염포점,울산광역시 북구 염포로 591-1(양정동)
668,양평옥천점,"경기도 양평군 옥천면 북부길9번길, 5"
669,양평용문점,경기도 양평군 용문역길 7
670,양평점,경기도 양평군 양평읍 중앙로167번길 62
671,어양점,전라북도 익산시 고봉로18길 107(어양동)
672,언양점,울산광역시 울주군 언양읍 읍성로 40
673,엄사금암점,충청남도 계룡시 엄사면 번영2길 4-41 101
674,엄정점,충청북도 충주시 엄정면 내창로 205
675,에코점,인천광역시 남동구 논현동 739-1
676,여월점,경기도 부천시오정구 여월동 52-4 1층
677,여의도점,"서울특별시 영등포구 여의나루로 117, 109(여의도동)"
678,여주점,경기도 여주시 여흥로 97
679,역곡1점,경기도 부천시원미구 역곡로 61 (역곡동)
680,연남동점,서울특별시 마포구 연남로 41(연남동)
681,연동점,제주특별자치도 제주시 연동 251-23
682,연무대점,충청남도 논산시 연무읍 안심로 127
683,연봉점,강원도 홍천군 홍천읍 무궁화로 88
684,연성점,"경기도 시흥시 인선길 100, 107호(장곡동, 연성프라자)"
685,연수3점,인천광역시 연수구 연수동 540 문남상가 107호
686,연수5점,"인천광역시 연수구 먼우금로 126, 107호(동춘동, 대림현대)"
687,연수6점,"인천광역시 연수구 샘말로 106-7(연수동, 1층 일부)"
688,연수동점,충청북도 충주시 연원로 28(연수동)
689,연수주공점,인천광역시 연수구 연수동 533 연수상가 103호
690,연지점,경기도 안성시 연지동 16-1
691,연천점,경기도 연천군 연천읍 연천로 262
692,연풍점,경기도 파주시 파주읍 술이홀로 449
693,연풍점(충북),충청북도 괴산군 연풍면 향교로 28
694,염창동점,서울특별시 강서구 공항대로65길 51. 1층(염창동)
695,영광점,전라남도 영광군 영광읍 남천리 312-2
696,영덕점,경상북도 영덕군 영덕읍 중앙길 120-3
697,영동아파트점,"서울특별시 강남구 역삼로64길 11, 1층(대치동)"
698,영동점,충청북도 영동군 구교로 46-1
699,영등포점,"서울특별시 영등포구 양산로 137, 1층(당산동3가)"
700,영산점,경상남도 창녕군 영산면 서리상촌길321
701,영오점,경상남도 고성군 영오면 영회로 514
702,영운동점,충청북도 청주시상당구 영운로 34-1(영운동)
703,영월삼호점,강원도 영월군 영월읍 단종로 88
704,영월점,강원도 영월군 영월읍 은행나무길 19
705,영주지사,   
706,영주풍기점,경상북도 영주시 풍기읍 풍기로 49-1
707,영천시장점,서울특별시 서대문구 천연동 1 냉천동 190
708,영통2점,경기도 수원시영통구 영통동 955-1 황골마을1단지 상가-106
709,예산1점,충청남도 예산군 예산읍 예산리 천변로 179
710,예산2점,충청남도 예산군 예산읍 주교리 225-9
711,예천점,경상북도 예천군 예천읍 남본리 222-2번지
712,오남리점,경기도 남양주시 오남읍 진건오남로 626
713,오류1점,서울특별시 구로구 고척로1길 5 (오류동)
714,오목천점,경기도 수원시권선구 삼천병마로 1592번길 3(오목천동)
715,오산1점,경기도 오산시 오산로 190번길 24
716,오산2점,경기도 오산시 오산로 226번길 18(원동)
717,오성점,경기도 평택시 오성면 숙성리 137-7
718,오정점,"경기도 부천시오정구 오정로 244번 45, (오정동,1층)"
719,오천원동점,경상북도 포항시남구 오천읍 냉천로302번길 51
720,오학점,"경기도 여주시 현암2길   28-11, 1층8호"
721,옥계점(대전),대전광역시 중구 대종로 59(옥계동)
722,옥산점,경상북도 경산시 성암로 10길 2-12(옥산동)
723,옥수동점,"서울특별시 성동구 독서당로39길 48, 1층 (옥수동)"
724,옥정점,"경기도 양주시 옥정동로5다길 12, 1층(옥정동)"
725,옥천점(충북),충청북도 옥천군 옥천읍 금구리 24-6
726,옥포1점,경상남도 거제시 옥포로 282
727,온수리점,인천광역시 강화군 길상면 온수리 547-1
728,온양1점,충청남도 아산시 충무로 20번길 20
729,와룡점,"대구광역시 달서구 이곡동로 32, 403-106(이곡동,성서와룡타운)"
730,와수리점,강원도 철원군 서면 와수리 168-1
731,왕십리점,서울특별시 성동구 하왕십리2동 955-11
732,왜관점,경상북도 칠곡군 왜관읍 구상길 180-1 삼성A104
733,외동점,경상남도 김해시 외동 1214-2
734,용강점,경상북도 경주시 승삼1길 6-10
735,용담점,제주특별자치도 제주시 용담2동 359-51
736,용산점,충청북도 충주시 금붕9길 3
737,용상점,경상북도 안동시 용상동 1242
738,용연점,충청남도 아산시 배방읍 장재리 1205
739,용운점,대전광역시 동구 용운동 307-8
740,용원점,경상남도 창원시진해구 용재로29번길 5-17
741,용인구성점,경기도 용인시기흥구 구성로 176(언남동)
742,용인시청점,경기도 용인시처인구 중부대로 1142-1
743,용전점,대전광역시 대덕구 중리동 246-25
744,용현1호점,인천광역시 미추홀구 인주대로174번  36
745,용현2호점,인천광역시 미추홀구 낙섬중로 11(용현동)
746,용현점,"경기도 의정부시 충의로57번길 7-3(용현동, 1층)"
747,용호점,"부산광역시 남구 용호로42번길 104(용호동,1층)"
748,용화점,"충청남도 아산시 용화동 694, 101호"
749,우만.지동점,경기도 수원시팔달구 창룡대로 150 55(우만동)
750,우면동점,"서울특별시 서초구 바우뫼로7길 11, 1층 106호(우면동,우면아파트상가)"
751,우성점,충청남도 천안시서북구 직산읍 자은가리1길 68  
752,우암점,충청북도 청주시상당구 향군로 20(우암점)
753,우천점,강원도 횡성군 우천면 수남로 333
754,우현점,경상북도 포항시북구 우현동 134-7 우현상가101호
755,운남삼성점,광주광역시 광산구 운남동 387-22번지 삼성@ 상가 127호
756,운정1점,"경기도 파주시 미래로 603, 상가동 203호(목동동)"
757,운정2점,"경기도 파주시 동패로 115, 상가동 122호"
758,운천점,경기도 포천시 영북면 운천로 10
759,울산신정1점,울산광역시 남구 봉월로164번길 4
760,원곡동점,"경기도 안산시단원구 원선로 55, 104호(원곡동)"
761,원당지구점,인천광역시 서구 당하동 1028-13
762,원동일산점,"강원도 원주시 무실로 96, 1층 (일산동)"
763,원미1점,"경기도 부천시원미구 원미로 89-1, 1층(원미동)"
764,원북점,충청남도 태안군 원북면 원이로 837
765,원앙마을점,충청남도 천안시동남구 목천읍 삼성리 9-9 부영A상가 110
766,원종3점,경기도 부천시오정구 원종동 206-3
767,원주지사,테스트 테스트구 테스트점 23-123
768,원천점,경기도 수원시영통구 매탄2동 동탄원천로1109번길 42 원천성일아파트상가동 103호
769,원통점,강원도 인제군 북면 금강로 46
770,월계동점,서울특별시 노원구 광운로2나길 11
771,월계삼호점,서울특별시 노원구 월계3동 12-1 삼호4차 상가
772,월곡2점,서울특별시 성북구 하월곡2동 37-18
773,월봉점,충청남도 천안시서북구 월봉로 79
774,월피주공점,경기도 안산시상록구 월피동 446-2 주공상가 107호
775,위미점,제주특별자치도 서귀포시 남원읍 위미리 1759-2
776,유구점,충청남도 공주시 유구읍 중앙1길 88
777,유성1점,대전광역시 유성구 게룡로60번길 60-2
778,유성2점,대전광역시 유성구 장대동 269-8
779,유천2점,대전광역시 중구 유천동 127-7
780,유천점,대전광역시 중구 유천동 285-19
781,율도점,인천광역시 서구 신현동 173-35
782,율량점,충청북도 청주시청원구 공항로 114
783,율암온천점,경기도 화성시 팔탄면 온천로 454
784,율하점,대구광역시 동구 율하동로12길 12(율하동)
785,으뜸점,광주광역시 서구 상무공원로 112 해광한신아파트상가 113호
786,은빛점,경기도 고양시덕양구 화중로130번길 5-19
787,은행나무점,서울특별시 금천구 탑골로 17
788,은행점,경기도 성남시중원구 산성대로582번 14. 1층(은행동)
789,은행택지점,경기도 시흥시 은행로 107
790,음봉점,충청남도 아산시 음봉면 산동안길 10
791,음성점,충청북도 음성군 음성읍 시장로 95
792,응암1점,서울특별시 은평구 응암동 124-17
793,의당.신한점,충청남도 공주시 의당면 연수원길 115-2 102호
794,의정부지사,   
795,이대점,"서울특별시 마포구 숭문16길 10, 1층(염리동)"
796,이도점,"제주특별자치도 제주시 도남로15길 4-12, 101(도남동)"
797,이동점,경기도 포천시 이동면 화동로 2105
798,이매점,경기도 성남시분당구 이매로 54 이매촌분산상가 101호
799,이수점,충청남도 천안시서북구 백석동 433-3
800,이원점,충청북도 옥천군 이원면 강청리 82-6
801,이월점,충청북도 진천군 이월면 진광로 789-1
802,이주단지점,충청남도 당진시 송악읍 신복운로6길 7(1층)
803,이천중앙점,경기도 이천시 서희로 37(중리동)
804,이천현대점,경기도 이천시 부발읍 경충대로2110번길 14
805,이포점,경기도 여주시 금사면 이포로 60
806,이화동점,서울특별시 종로구 대학로 52(연건동)
807,인계점,"경기도 수원시팔달구 권광로 317번 12, 상가동 지하1층6,7호"
808,인덕원점,"경기도 안양시동안구 흥안대로517번 49, 1층(관양동)"
809,인동점,경상북도 구미시 인동19길  36-1 1층
810,인동점(대전),대전광역시 동구 인동 147-7
811,인월점,전라북도 남원시 인월면 인월리 249-16
812,인제점,강원도 인제군 인제읍 비봉로 3
813,인제현리점,강원도 인제군 기린면 기린로 19
814,인창점,경기도 구리시 건원대로99번길 49
815,인천남부점,"인천광역시 남동구 성리로35번길 20-1(구월동, 1층)"
816,인천남촌점,인천광역시 남동구 남촌동로 52-1
817,인천지사,   
818,일도점,제주특별자치도 제주시 천수로 25-1
819,일동점,경기도 포천시 일동면 화동로 1073
820,일신점,인천광역시 부평구 일신동 111-4
821,임계점,강원도 정선군 임계면 송계5길 5
822,임광점,경기도 수원시영통구 권선로 792 (매탄동)
823,임은점,경상북도 구미시 임은길 50
824,입암동점,강원도 강릉시 성덕포남로 89-10
825,자양1점,"서울특별시 광진구 자양로13다길 47(자양동, 1층)"
826,자양3점,서울특별시 광진구 뚝섬로 693
827,자양점,대전광역시 동구 자양동 190-36
828,자유점,"강원도 원주시 자유시장길 7, 22-3(중앙동)"
829,작전1점,"인천광역시 계양구 주부토로 468(작전동, 상가동1층6호)"
830,작전3점,인천광역시 계양구 효성동 197-19
831,작전현대점,인천광역시 계양구 작전동 580-1 현대아파트상가 1층
832,잠실새마을점,"서울특별시 송파구 백제고분로7길 39, 1층 106호(잠실동,고려빌딩)"
833,장계점,전라북도 장수군 장계면 한들로 81
834,장기1점,경기도 김포시 장기동 1968-3
835,장기월드점,"경기도 김포시 전원로 32, 116호(장기동, 월드상가)"
836,장락고암점,충청북도 제천시 신죽하로 83-24(장락동)
837,장량점,경상북도 포항시북구 장량로87번길 6-15
838,장림점,부산광역시 사하구 장림동 641-180
839,장미점,서울특별시 송파구 신천동 7 장미 B-202
840,장성점,강원도 태백시 장성시장1길 3(장성동)
841,장수점,경상북도 영주시 장수면 장수로 48
842,장암주공점,경기도 의정부시 회룡로 223 (장암주공5단지아파트)
843,장양리점,강원도 원주시 소초면 장막1길 7
844,장위동점,서울특별시 성북구 장월로 90
845,장유점,경상남도 김해시 무계동 278
846,장평점,경상남도 거제시 장평3로4길 24
847,장항점,충청남도 서천군 장항읍 장항로 125-1
848,장현점,경기도 남양주시 진접읍 봉현로36번길 12
849,장호원점,경기도 이천시 장호원읍 샘재로147번길 26
850,장흥관산점,전라남도 장흥군 관산읍 관산로 119-1
851,장흥점,전라남도 장흥군 장흥읍 동교3길 8
852,적성점,경기도 파주시 적성면 청송로 1020
853,전곡터미널점,경기도 연천군 전곡읍 온골로 56
854,전남금산점,전라남도 고흥군 금산면 대흥리 360-20
855,전대리점,경기도 용인시처인구 포곡읍 전대로78번길 3-1
856,전대점,광주광역시 북구 서양로 46
857,전민점,"대전광역시 유성구 전민로10번길 49(전민동, 1층)"
858,전북지사,   
859,전하점,울산광역시 동구 전하동 618-8
860,점동점,경기도 여주시 점동면 청안로 134
861,정관점,부산광역시 기장군 정관읍모전3길 37
862,정남점,경기도 화성시 정남면 괘량리 1048-3
863,정릉점,서울특별시 성북구 돈암동 43-6
864,정릉행복점,서울특별시 성북구 정릉동 372-47
865,정림점,대전광역시 서구 정림동 666번지
866,정산점,충청남도 청양군 정산면 서정리 168
867,정선점,강원도 정선군 정선읍 정선로 1352
868,정자점,"경기도 성남시분당구 황새울로116번 28, 1층(정자동)"
869,정자점(수원),경기도 수원시장안구 장안로 183
870,제물포점,인천광역시 미추홀구 장천로112번길 10 1층
871,제부도점,경기도 화성시 서신면 해안길 246-1
872,제주동문점,제주특별자치도 제주시 일도1동 1084-13
873,제주지사,   
874,제천역전점,충청북도 제천시 내토로 435-1
875,조암점,경기도 화성시 우정읍 조암서로22번길 21
876,조양동점,강원도 속초시 동해대로 3998(조양동)
877,조원점,경기도 수원시장안구 송정로187번길 49
878,조치원2점,"세종특별자치시  조치원읍 새내로 65-1, 1층"
879,조치원3점,세종특별자치시  조치원읍 충현로 159 욱일@상가B07호
880,종로낙원점,서울특별시 종로구 낙원동 49
881,주공1점,경기도 평택시 평택2로 108 (비전동)
882,주덕점,충청북도 충주시 주덕읍 신양로 109
883,주문진점,강원도 강릉시 주문진읍 주문로 117
884,주안2동점,인천광역시 미추홀구 경인로 326번 49
885,주안점,인천광역시 미추홀구 염창로 84-3
886,주원점,인천광역시 미추홀구 주안동 1593-34
887,주천점,강원도 영월군 주천면 주천로 88-1
888,주촌점,경상남도 김해시 주촌면 주선로76
889,죽림점,"경상남도 통영시 광도면 죽림1로 17-37, 102호(용문빌딩1층)"
890,죽변점,경상북도 울진군 죽변면 죽변북로 59
891,죽산점,경기도 안성시 죽산면 중서길 1
892,죽전점,"경기도 용인시수지구 대지로 62, 104(죽전동)"
893,죽정점,충청남도 보령시 죽정동 646-9
894,중곡1점,"서울특별시 광진구 용마산로7길 20(중곡동, 1층)"
895,중곡2점,서울특별시 광진구 중곡동 199-27
896,중동1점,경기도 부천시원미구 중동 805-2 중앙 103호
897,중동동성점,"경기도 부천시원미구 조마루로 233, 상가동1층121호(중동, 미리내마을)"
898,중리점,대구광역시 서구 국채보상로38길 57-1
899,중리점(대전),대전광역시 대덕구 중리남로 20
900,중마점,전라남도 광양시 중동 1681번지 태영@ 상가 106호
901,중문점,제주특별자치도 서귀포시 천제연로185번 3-1
902,중산점,경기도 고양시일산동구 탄중로 416 상가 109
903,중앙점(경주),경상북도 경주시 노동동 236-1
904,중촌점,대전광역시 중구 목중로39번길 21
905,중화산동점,"전라북도 전주시완산구 따박골2길 3(중화산동2가, 1층)"
906,중흥리점,충청남도 당진시 송악읍 송악로 685
907,중흥설악점,경기도 부천시원미구 중동 1052 중흥주공상가 204
908,증산동점,서울특별시 은평구 증산동 159-14
909,증평점,충청북도 증평군 증평읍 중앙로173
910,지경리점,강원도 철원군 김화읍 청양로84
911,지곡점,충청남도 서산시 지곡면 무장리 920 오스카빌 103
912,지리산온천점,전라남도 구례군 산동면 관산리 715-2번지
913,지원점,광주광역시 동구 소태동 653-4
914,지평점,경기도 양평군 지평면 지평의병로 96
915,직산부영점,충청남도 천안시서북구 직산읍 군수1길 10 부영아파트상가 107호
916,직산점,충청남도 천안시서북구 직산읍 삼은리 76-177
917,진달래점,서울특별시 강남구 역삼동 779-9
918,진도점,전라남도 진도군 진도읍 옥주길 22
919,진량점,경상북도 경산시 진량읍 황제리 70-1 창신황제상가 203
920,진보점,경상북도 청송군 진보면 진안리 384-4
921,진부점,강원도 평창군  진부면 진부중앙로 70
922,진우점,강원도 원주시 현충로 272(태장동)
923,진잠점,대전광역시 유성구 원내동 343-6
924,진주대곡점,경상남도 진주시 대곡면 광석리 315-1
925,진천대곡점,대구광역시 달서구 상화로21길 49(진천동)
926,진천점,"충청북도 진천군 진천읍 문화로 237-18, 101호"
927,진하점,울산광역시 울주군 서생면 깨목길 28
928,참이슬점,경기도 평택시 참이슬길 16
929,창녕점,경상남도 창녕군 창녕읍 명덕로 48
930,창동역점,서울특별시 도봉구 창동 135-14 1층 103
931,창신동점,"서울특별시 종로구 지봉로5길 12, 1층(창신동)"
932,창현점,경기도 남양주시 화도읍 창현로  60(신명상가 108호)
933,천리점,경기도 용인시처인구 이동면 백옥대로 623
